doi,"views, total","views, first month","views, first week","views, first day"
10.1038/ncomms2564,1974,642,329,86
10.1038/ncomms8076,936,304,173,90
10.1038/ncomms2384,701,173,87,34
10.1038/ncomms2509,25457,17969,17170,260
10.1038/ncomms8232,518,133,71,12
10.1038/ncomms2637,2771,730,496,131
10.1038/ncomms8302,1441,236,147,22
10.1038/ncomms2618,2061,1316,971,453
10.1038/ncomms2914,2932,664,390,103
10.1038/ncomms2513,17313,2707,694,62
10.1038/ncomms8133,2067,948,624,95
10.1038/ncomms8228,2065,1015,813,75
10.1038/ncomms8260,9203,2307,1374,171
10.1038/ncomms2472,18991,1341,602,211
10.1038/ncomms7917,1915,606,227,46
10.1038/ncomms2769,7783,1679,875,182
10.1038/ncomms3003,1896,660,413,77
10.1038/ncomms2865,3589,1098,682,215
10.1038/ncomms2943,9764,1870,1084,217
10.1038/ncomms2987,5309,767,414,91
10.1038/ncomms3034,8772,2010,1180,258
10.1038/ncomms8435,747,331,249,98
10.1038/ncomms2575,2726,999,607,67
10.1038/ncomms2863,4652,1602,966,138
10.1038/ncomms2929,4019,1150,799,238
10.1038/ncomms7894,1167,357,217,33
10.1038/ncomms2779,1094,375,247,63
10.1038/ncomms7943,2392,408,188,51
10.1038/ncomms8336,1029,378,235,53
10.1038/ncomms2651,3553,443,251,62
10.1038/ncomms8343,10901,3215,1907,435
10.1038/ncomms2592,3300,1206,788,188
10.1038/ncomms7865,3228,595,354,68
10.1038/ncomms8134,2721,828,408,98
10.1038/ncomms2869,1883,504,265,67
10.1038/ncomms2528,1275,330,197,39
10.1038/ncomms2797,2884,1227,535,110
10.1038/ncomms2375,1641,424,258,55
10.1038/ncomms2426,1588,529,389,78
10.1038/ncomms2402,5700,1078,581,102
10.1038/ncomms2729,6659,1182,671,243
10.1038/ncomms2365,2109,940,589,131
10.1038/ncomms2935,6683,2090,1530,329
10.1038/ncomms2421,1659,435,284,40
10.1038/ncomms2808,3847,855,472,85
10.1038/ncomms2435,1318,327,173,18
10.1038/ncomms8117,1863,546,301,127
10.1038/ncomms2436,982,159,71,30
10.1038/ncomms8181,18852,8346,4628,276
10.1038/ncomms2855,7992,2025,1104,322
10.1038/ncomms2840,3444,1211,814,59
10.1038/ncomms8478,3377,1311,823,144
10.1038/ncomms8308,1219,425,300,125
10.1038/ncomms8080,1445,551,382,76
10.1038/ncomms8132,2033,786,457,111
10.1038/ncomms2447,2349,591,286,94
10.1038/ncomms2883,2170,637,331,48
10.1038/ncomms2580,2748,763,442,47
10.1038/ncomms2947,6111,1246,581,69
10.1038/ncomms2807,846,289,102,26
10.1038/ncomms2647,3860,673,373,42
10.1038/ncomms7478,3757,910,589,60
10.1038/ncomms7782,1101,202,81,35
10.1038/ncomms2605,1980,504,271,46
10.1038/ncomms3074,2303,653,389,79
10.1038/ncomms7695,1661,537,403,72
10.1038/ncomms7788,1479,315,153,52
10.1038/ncomms8408,6199,2574,1471,314
10.1038/ncomms2563,7716,3467,2366,347
10.1038/ncomms8334,1326,713,527,110
10.1038/ncomms2569,2403,573,319,61
10.1038/ncomms2735,1779,335,196,52
10.1038/ncomms2547,7636,1628,1182,171
10.1038/ncomms2911,3255,490,323,54
10.1038/ncomms2355,967,292,219,49
10.1038/ncomms2985,4743,1075,537,142
10.1038/ncomms8248,1749,403,219,60
10.1038/ncomms7702,1139,423,350,93
10.1038/ncomms8284,1847,797,580,38
10.1038/ncomms7796,1054,229,151,114
10.1038/ncomms2948,1311,446,268,89
10.1038/ncomms2611,2529,901,510,47
10.1038/ncomms2932,18793,5577,4148,757
10.1038/ncomms2545,2822,867,530,96
10.1038/ncomms2667,1176,401,201,66
10.1038/ncomms7888,1473,635,129,33
10.1038/ncomms2407,1913,473,264,107
10.1038/ncomms2874,2743,840,515,62
10.1038/ncomms2445,2434,456,193,18
10.1038/ncomms8510,2535,981,697,280
10.1038/ncomms2677,1998,360,158,31
10.1038/ncomms8395,2099,850,557,130
10.1038/ncomms3006,1636,453,222,57
